GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.fulfilment.domain.usecases,AssignWarehouseToStoreProductUseCase,0,103,0,6,0,30,0,11,0,8
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,33,0,0,0,9,0,7,0,7
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,6,0,12,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,89,2,10,0,23,2,7,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,0,49,1,7,0,13,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfilment.adapters.inmemory,InMemoryFulfilmentAssignmentStore,0,18,0,0,0,5,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.fulfilment.adapters.rest,FulfilmentResource.FulfilmentRequest,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfilment.adapters.rest,FulfilmentResource,0,19,0,0,0,5,0,2,0,2
java-code-assignment,com.warehouse.api.beans,Warehouse,0,38,0,0,0,16,0,11,0,11
java-code-assignment,com.fulfilment.application.monolith.fulfilment.domain,FulfilmentAssignment,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,2,117,1,9,1,26,1,11,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,6,96,0,0,1,15,1,4,1,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,33,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,142,43,10,4,32,15,7,7,0,7
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,0,2,0,5,0,4,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreChangedEvent.ChangeType,0,15,0,0,0,3,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,0,2,0,5,0,4,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},0,20,0,2,0,5,0,4,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreChangedEvent,0,15,0,0,0,6,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,322,8,28,0,74,2,20,2,6,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,29,96,7,3,6,21,5,5,0,5
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,8,177,2,10,1,46,2,13,0,9
